cip4,label,slug,cla_department,include
3801,Philosophy,philosophy,Philosophy,yes
4510,Political Science,political-science,Political Science,yes
1003,Graphic Communication,graphic-communication,Graphic Communication,yes
0901,Communication Studies,communication-studies,Communication Studies,yes
0904,Journalism,journalism,Journalism,yes
4511,Sociology,sociology,Social Sciences,yes
5401,History,history,History,yes
2301,English,english,English,yes
4201,Psychology,psychology,Psychology & Child Development,yes
5007,Art & Design,art-and-design,Art & Design,yes
4599,Anthropology & Geography,anthropology-geography,Social Sciences,yes
5005,Theatre Arts,theatre-arts,Theatre & Dance,no
2401,Liberal Studies / Interdisciplinary,liberal-studies,PENDING - verify with Institutional Research (likely CSM Liberal Studies not CLA),no
