cip4,major,median_earnings_4yr,is_cla,note
1107,Computer Science,154784,no,
1409,Computer Engineering,148950,no,
1410,"Electrical, Electronics, and Communications Engineering",125240,no,
5220,Construction Management,118331,no,
1435,Industrial Engineering,112797,no,
5202,"Business Administration, Management and Operations",110902,no,
1405,Biomedical/Medical Engineering,109232,no,
1402,"Aerospace, Aeronautical, and Astronautical/Space Engineering",107498,no,
1419,Mechanical Engineering,106750,no,
1414,Environmental/Environmental Health Engineering,102702,no,
2705,Statistics,101353,no,
1408,Civil Engineering,101072,no,
1418,Materials Engineering,100599,no,
4506,Economics,98927,no,
3801,Philosophy,98592,yes,
4008,Physics,96805,no,
1404,Architectural Engineering,92767,no,
1403,Agricultural Engineering,92603,no,
1506,Industrial Production Technologies/Technicians,89195,no,
0101,Agricultural Business and Management,88396,no,
0100,"Agriculture, General",84412,no,
2701,Mathematics,83187,no,
0111,Plant Sciences,82487,no,
4510,Political Science and Government,81843,yes,
0108,Agricultural Public Services,80965,no,
0403,"City/Urban, Community, and Regional Planning",80820,no,
1003,Graphic Communications,79432,yes,
2602,"Biochemistry, Biophysics and Molecular Biology",78097,no,
0102,Agricultural Mechanization,78080,no,
0305,Forestry,77419,no,
0402,Architecture,76613,no,
0110,Food Science and Technology,75466,no,
0901,Communication and Media Studies,75223,yes,
3101,"Parks, Recreation, and Leisure Studies",75181,no,
0904,Journalism,70829,yes,
4511,Sociology,69883,yes,
2601,"Biology, General",69854,no,
4006,Geological and Earth Sciences/Geosciences,69227,no,
0302,Environmental/Natural Resources Management and Policy,68965,no,
3019,Nutrition Sciences,68930,no,
0406,Landscape Architecture,68795,no,
2401,"Liberal Arts and Sciences, General Studies and Humanities",68171,no,
5401,History,66518,yes,
3105,"Sports, Kinesiology, and Physical Education/Fitness",64579,no,
4005,Chemistry,63882,no,
2301,"English Language and Literature, General",63413,yes,
4201,"Psychology, General",60466,yes,
5007,Fine and Studio Arts,59721,yes,
4599,"Social Sciences, Other",57360,yes,
1312,"Teacher Education and Professional Development, Specific Levels and Methods",55543,no,
0109,Animal Sciences,54805,no,
5005,Drama/Theatre Arts and Stagecraft,36697,yes,
0106,Applied Horticulture and Horticultural Business Services,,no,suppressed (too few graduates to report)
0112,Soil Sciences,,no,suppressed (too few graduates to report)
0301,Natural Resources Conservation and Research,,no,suppressed (too few graduates to report)
0409,Architectural Sciences and Technology,,no,suppressed (too few graduates to report)
0502,"Ethnic, Cultural Minority, Gender, and Group Studies",,no,suppressed (too few graduates to report)
1101,"Computer and Information Sciences, General",,no,suppressed (too few graduates to report)
1313,"Teacher Education and Professional Development, Specific Subject Areas",,no,suppressed (too few graduates to report)
1401,"Engineering, General",,no,suppressed (too few graduates to report)
1413,Engineering Science,,no,suppressed (too few graduates to report)
1433,Construction Engineering,,no,suppressed (too few graduates to report)
1436,Manufacturing Engineering,,no,suppressed (too few graduates to report)
1601,"Linguistic, Comparative, and Related Language Studies and Services",,no,suppressed (too few graduates to report)
1609,"Romance Languages, Literatures, and Linguistics",,no,suppressed (too few graduates to report)
1905,"Foods, Nutrition, and Related Services",,no,suppressed (too few graduates to report)
1907,"Human Development, Family Studies, and Related Services",,no,suppressed (too few graduates to report)
2313,Rhetoric and Composition/Writing Studies,,no,suppressed (too few graduates to report)
2605,Microbiological Sciences and Immunology,,no,suppressed (too few graduates to report)
3032,Marine Sciences,,no,suppressed (too few graduates to report)
3099,"Multi/Interdisciplinary Studies, Other",,no,suppressed (too few graduates to report)
3103,"Parks, Recreation, and Leisure Facilities Management",,no,suppressed (too few graduates to report)
4501,"Social Sciences, General",,no,suppressed (too few graduates to report)
5009,Music,,no,suppressed (too few graduates to report)
5122,Public Health,,no,suppressed (too few graduates to report)
5131,Dietetics and Clinical Nutrition Services,,no,suppressed (too few graduates to report)
5201,"Business/Commerce, General",,no,suppressed (too few graduates to report)
