Median earnings 4 years after graduating,spread,Institution,Group
107454,0.377,,Other program
98592,0.5,Cal Poly SLO,Cal Poly
97519,0.256,,Other program
78041,0.606,,Other program
75423,0.201,,Other program
74507,0.525,,Other program
71796,0.406,,Other program
71790,0.191,,Other program
71709,0.505,,Other program
70709,0.176,,Other program
70628,0.454,,Other program
68629,0.199,,Other program
68026,0.213,,Other program
67948,0.447,,Other program
67293,0.729,,Other program
65675,0.237,,Other program
65675,0.306,,Other program
65115,0.589,,Other program
64898,0.813,,Other program
64846,0.554,,Other program
64402,0.428,,Other program
64098,0.833,,Other program
63410,0.183,,Other program
63326,0.751,,Other program
61754,0.353,,Other program
61595,0.251,,Other program
61595,0.232,,Other program
61186,0.366,,Other program
60571,0.721,,Other program
60009,0.277,,Other program
59935,0.557,,Other program
59935,0.597,,Other program
59640,0.411,,Other program
59370,0.533,,Other program
59329,0.194,,Other program
58891,0.192,,Other program
58891,0.294,,Other program
58891,0.626,,Other program
58635,0.449,,Other program
58633,0.37,,Other program
58285,0.56,,Other program
57041,0.467,,Other program
56885,0.36,,Other program
56812,0.706,,Other program
56786,0.639,,Other program
55875,0.321,,Other program
55823,0.552,,Other program
55804,0.518,,Other program
54868,0.763,,Other program
54822,0.661,,Other program
53390,0.352,,Other program
53189,0.836,,Other program
53127,0.233,,Other program
52656,0.443,,Other program
52633,0.68,,Other program
52436,0.256,,Other program
52006,0.492,,Other program
51831,0.177,,Other program
51402,0.618,,Other program
51398,0.685,,Other program
50768,0.551,,Other program
50191,0.763,,Other program
50016,0.37,,Other program
49909,0.637,,Other program
49583,0.566,,Other program
49561,0.556,,Other program
49403,0.469,,Other program
49378,0.738,,Other program
49062,0.811,,Other program
48566,0.482,,Other program
47414,0.615,,Other program
47153,0.192,,Other program
46067,0.641,,Other program
44533,0.603,,Other program
44329,0.845,,Other program
43165,0.725,,Other program
43085,0.349,,Other program
42993,0.42,,Other program
42337,0.618,,Other program
41209,0.166,,Other program
40284,0.473,,Other program
40076,0.268,,Other program
39532,0.232,,Other program
34482,0.191,,Other program
33457,0.688,,Other program
31906,0.241,,Other program
