Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
University of California-Berkeley,CA,Public,101138,
Rutgers University-New Brunswick,NJ,Public,80700,
New York University,NY,"Private, nonprofit",74983,
CUNY Graduate School and University Center,NY,Public,69996,
University of California-Davis,CA,Public,68535,
University of Rochester,NY,"Private, nonprofit",68333,
Loyola University Maryland,MD,"Private, nonprofit",67373,
University of Rhode Island,RI,Public,66738,
Columbia University in the City of New York,NY,"Private, nonprofit",65085,
Towson University,MD,Public,62559,
St Lawrence University,NY,"Private, nonprofit",60518,
Kalamazoo College,MI,"Private, nonprofit",59193,
California Polytechnic State University-San Luis Obispo,CA,Public,57360,Yes
University of Washington-Seattle Campus,WA,Public,56628,
University of Washington-Tacoma Campus,WA,Public,56628,
SUNY Old Westbury,NY,Public,56609,
University of California-Riverside,CA,Public,55087,
Central Michigan University,MI,Public,54888,
Russell Sage College,NY,"Private, nonprofit",54363,
CUNY John Jay College of Criminal Justice,NY,Public,54259,
Millersville University of Pennsylvania,PA,Public,54086,
Lake Forest College,IL,"Private, nonprofit",53438,
University of Wisconsin-Green Bay,WI,Public,50738,
Benedictine University,IL,"Private, nonprofit",50054,
Eastern Oregon University,OR,Public,49611,
University of Alabama at Birmingham,AL,Public,47004,
SUNY Polytechnic Institute,NY,Public,46521,
Keystone College,PA,"Private, nonprofit",46452,
Clark University,MA,"Private, nonprofit",45710,
University of Southern Maine,ME,Public,45523,
University of Pittsburgh-Bradford,PA,Public,44520,
University of Pittsburgh-Pittsburgh Campus,PA,Public,44520,
The University of Tennessee-Chattanooga,TN,Public,43858,
Glenville State University,WV,Public,38539,
SUNY at Purchase College,NY,Public,36895,
