Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
University of Southern California,CA,"Private, nonprofit",72428,
Dartmouth College,NH,"Private, nonprofit",68523,
University of Michigan-Ann Arbor,MI,Public,66846,
Vassar College,NY,"Private, nonprofit",63418,
Sacred Heart University,CT,"Private, nonprofit",61998,
Connecticut College,CT,"Private, nonprofit",61321,
Brown University,RI,"Private, nonprofit",60985,
Ramapo College of New Jersey,NJ,Public,60757,
Fordham University,NY,"Private, nonprofit",60515,
Binghamton University,NY,Public,60299,
California Polytechnic State University-San Luis Obispo,CA,Public,59721,Yes
Virginia Polytechnic Institute and State University,VA,Public,58652,
Loyola Marymount University,CA,"Private, nonprofit",58468,
University of Pittsburgh-Pittsburgh Campus,PA,Public,57705,
CUNY Hunter College,NY,Public,56160,
Miami University-Oxford,OH,Public,55891,
University of Maryland-College Park,MD,Public,55713,
Marist University,NY,"Private, nonprofit",55296,
Manhattanville University,NY,"Private, nonprofit",55180,
Williams College,MA,"Private, nonprofit",55012,
Bridgewater College,VA,"Private, nonprofit",54910,
Howard University,DC,"Private, nonprofit",54696,
University of Virginia-Main Campus,VA,Public,54579,
James Madison University,VA,Public,54093,
Moravian University,PA,"Private, nonprofit",54090,
North Carolina State University at Raleigh,NC,Public,54007,
University of Washington-Seattle Campus,WA,Public,53805,
University of Washington-Bothell Campus,WA,Public,53805,
Carnegie Mellon University,PA,"Private, nonprofit",53726,
St Lawrence University,NY,"Private, nonprofit",53720,
Kenyon College,OH,"Private, nonprofit",53620,
Skidmore College,NY,"Private, nonprofit",53602,
University of Georgia,GA,Public,53300,
University of Vermont,VT,Public,53191,
University of Massachusetts-Lowell,MA,Public,52637,
Rutgers University-Camden,NJ,Public,52450,
Rutgers University-New Brunswick,NJ,Public,52450,
Rutgers University-Newark,NJ,Public,52450,
Oklahoma State University-Main Campus,OK,Public,52405,
Texas Woman's University,TX,Public,52306,
University of California-Berkeley,CA,Public,51699,
Illinois State University,IL,Public,51386,
University of Missouri-Columbia,MO,Public,51254,
The College of New Jersey,NJ,Public,51033,
University of Connecticut,CT,Public,50952,
University of Connecticut-Waterbury Campus,CT,Public,50952,
University of Connecticut-Avery Point,CT,Public,50952,
University of Connecticut-Stamford,CT,Public,50952,
University of Connecticut-Hartford Campus,,Public,50952,
Texas Tech University,TX,Public,50892,
Adelphi University,NY,"Private, nonprofit",50759,
Pace University,NY,"Private, nonprofit",50623,
