Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
University of Pennsylvania,PA,"Private, nonprofit",114266,
Northwestern University,IL,"Private, nonprofit",93541,
Cornell University,NY,"Private, nonprofit",88463,
Santa Clara University,CA,"Private, nonprofit",84206,
Boston College,MA,"Private, nonprofit",83586,
Villanova University,PA,"Private, nonprofit",81497,
Boston University,MA,"Private, nonprofit",80306,
Northeastern University,MA,"Private, nonprofit",80191,
Northeastern University Professional Programs,,"Private, nonprofit",80191,
University of Michigan-Ann Arbor,MI,Public,79648,
George Washington University,DC,"Private, nonprofit",79112,
Emory University,GA,"Private, nonprofit",78866,
Fairfield University,CT,"Private, nonprofit",78081,
Wake Forest University,NC,"Private, nonprofit",77984,
Fordham University,NY,"Private, nonprofit",77244,
Tulane University of Louisiana,LA,"Private, nonprofit",76945,
University of Virginia-Main Campus,VA,Public,76243,
Roanoke College,VA,"Private, nonprofit",76198,
Purdue University Global,,Public,75906,
University of Southern California,CA,"Private, nonprofit",75864,
University of California-Berkeley,CA,Public,75612,
California Polytechnic State University-San Luis Obispo,CA,Public,75223,Yes
Marist University,NY,"Private, nonprofit",74726,
Manhattan University,NY,"Private, nonprofit",74471,
University of Maryland-College Park,MD,Public,74402,
Elon University,NC,"Private, nonprofit",73750,
Hobart William Smith Colleges,NY,"Private, nonprofit",73650,
Gonzaga University,WA,"Private, nonprofit",73558,
Chapman University,CA,"Private, nonprofit",73461,
The Catholic University of America,DC,"Private, nonprofit",73073,
University of California-Santa Barbara,CA,Public,72976,
St Lawrence University,NY,"Private, nonprofit",72839,
University of California-Davis,CA,Public,72778,
University of Arizona,AZ,Public,72758,
CUNY Graduate School and University Center,NY,Public,72564,
The University of Texas at Austin,TX,Public,72210,
Loyola University Maryland,MD,"Private, nonprofit",71948,
Simmons University,MA,"Private, nonprofit",71138,
Stonehill College,MA,"Private, nonprofit",70618,
Roger Williams University,RI,"Private, nonprofit",70575,
University of Oregon,OR,Public,70532,
University of Delaware,DE,Public,70414,
Willamette University,OR,"Private, nonprofit",70412,
University of North Carolina at Chapel Hill,NC,Public,70240,
Syracuse University,NY,"Private, nonprofit",70106,
CUNY City College,NY,Public,69948,
Pace University,NY,"Private, nonprofit",69876,
Rutgers University-New Brunswick,NJ,Public,69709,
University of Pittsburgh-Pittsburgh Campus,PA,Public,69573,
Holy Names University,CA,"Private, nonprofit",69424,
Gustavus Adolphus College,MN,"Private, nonprofit",69423,
Saint Anselm College,NH,"Private, nonprofit",69288,
DePauw University,IN,"Private, nonprofit",69228,
Loyola Marymount University,CA,"Private, nonprofit",69144,
University of New Hampshire-Main Campus,NH,Public,69098,
University of New Hampshire at Manchester,NH,Public,69098,
University of New Hampshire College of Professional Studies Online,NH,Public,69098,
Southern Illinois University-Carbondale,IL,Public,69034,
University of Nevada-Reno,NV,Public,68953,
University of San Diego,CA,"Private, nonprofit",68913,
Brigham Young University,UT,"Private, nonprofit",68843,
Sonoma State University,CA,Public,68833,
The College of New Jersey,NJ,Public,68654,
University of San Francisco,CA,"Private, nonprofit",68592,
University of Connecticut,CT,Public,68542,
University of Connecticut-Waterbury Campus,CT,Public,68542,
University of Connecticut-Avery Point,CT,Public,68542,
University of Connecticut-Stamford,CT,Public,68542,
University of Connecticut-Hartford Campus,,Public,68542,
Bryant University,RI,"Private, nonprofit",68518,
University of Georgia,GA,Public,68319,
Washington & Jefferson College,PA,"Private, nonprofit",68066,
Woodbury University,CA,"Private, nonprofit",68020,
American University,DC,"Private, nonprofit",67863,
University of California-San Diego,CA,Public,67302,
University of Dayton,OH,"Private, nonprofit",67231,
University of Maryland Global Campus,MD,Public,67181,
University of La Verne,CA,"Private, nonprofit",66891,
Denison University,OH,"Private, nonprofit",66730,
University of Colorado Boulder,CO,Public,66623,
University of Illinois Urbana-Champaign,IL,Public,66439,
James Madison University,VA,Public,66436,
Saint Mary's College,IN,"Private, nonprofit",66335,
Virginia Polytechnic Institute and State University,VA,Public,66106,
Queens University of Charlotte,NC,"Private, nonprofit",65985,
Purdue University-Main Campus,IN,Public,65517,
Norwich University,VT,"Private, nonprofit",65497,
McDaniel College,MD,"Private, nonprofit",65411,
University of St Thomas,MN,"Private, nonprofit",64917,
Lake Forest College,IL,"Private, nonprofit",64580,
Texas A&M University-College Station,TX,Public,64533,
University of Rhode Island,RI,Public,64520,
Saint Mary's College of California,CA,"Private, nonprofit",64456,
College of Saint Benedict,MN,"Private, nonprofit",64430,
Merrimack College,MA,"Private, nonprofit",64345,
University of Washington-Seattle Campus,WA,Public,64153,
University of Washington-Bothell Campus,WA,Public,64153,
University of Washington-Tacoma Campus,WA,Public,64153,
University of Wisconsin-Oshkosh,WI,Public,64103,
Furman University,SC,"Private, nonprofit",64014,
Keene State College,NH,Public,63995,
Indiana University-Bloomington,IN,Public,63855,
Augsburg University,MN,"Private, nonprofit",63850,
San Francisco State University,CA,Public,63731,
Augustana College,IL,"Private, nonprofit",63730,
SUNY College at Geneseo,NY,Public,63577,
Texas Christian University,TX,"Private, nonprofit",63531,
State University of New York at Cortland,NY,Public,63431,
University of Denver,CO,"Private, nonprofit",63374,
University of Utah,UT,Public,63309,
Towson University,MD,Public,63292,
Quinnipiac University,CT,"Private, nonprofit",63012,
University at Buffalo,NY,Public,62912,
University of Colorado Denver/Anschutz Medical Campus,CO,Public,62882,
Marymount Manhattan College,NY,"Private, nonprofit",62844,
Endicott College,MA,"Private, nonprofit",62840,
Colorado State University Global,CO,Public,62743,
Utah Valley University,UT,Public,62566,
Westmont College,CA,"Private, nonprofit",62535,
SUNY Brockport,NY,Public,62532,
University of Hartford,CT,"Private, nonprofit",62464,
Seattle Pacific University,WA,"Private, nonprofit",62411,
Washington State University,WA,Public,62406,
Hofstra University,NY,"Private, nonprofit",62361,
John Carroll University,OH,"Private, nonprofit",62270,
Ohio State University-Main Campus,OH,Public,62096,
Rollins College,FL,"Private, nonprofit",62086,
North Carolina State University at Raleigh,NC,Public,62039,
The University of Arizona Global Campus,AZ,"Private, for-profit",61909,
University of Puget Sound,WA,"Private, nonprofit",61904,
Randolph-Macon College,VA,"Private, nonprofit",61867,
College of Staten Island CUNY,NY,Public,61691,
California Lutheran University,CA,"Private, nonprofit",61653,
The University of Alabama,AL,Public,61548,
CUNY Queens College,NY,Public,61501,
Colorado State University-Fort Collins,CO,Public,61434,
San Diego State University,CA,Public,61389,
Metropolitan State University,MN,Public,61355,
La Salle University,PA,"Private, nonprofit",61347,
Bellevue University,NE,"Private, nonprofit",61294,
University of Wisconsin-Madison,WI,Public,61270,
University of Nebraska at Omaha,NE,Public,61220,
Arizona State University Campus Immersion,AZ,Public,61193,
Arizona State University Digital Immersion,,Public,61193,
Oregon State University,OR,Public,61096,
Oregon State University-Cascades Campus,OR,Public,61096,
Ursinus College,PA,"Private, nonprofit",61017,
University of Missouri-Columbia,MO,Public,61007,
Eckerd College,FL,"Private, nonprofit",60969,
University of Maryland-Baltimore County,MD,Public,60957,
State University of New York at New Paltz,NY,Public,60929,
University of Massachusetts-Amherst,MA,Public,60891,
The College of Wooster,OH,"Private, nonprofit",60884,
California Baptist University,CA,"Private, nonprofit",60883,
Michigan State University,MI,Public,60807,
The University of Texas Permian Basin,TX,Public,60805,
University of Iowa,IA,Public,60737,
Wheaton College,IL,"Private, nonprofit",60695,
University of the Pacific,CA,"Private, nonprofit",60666,
St. John's University-New York,NY,"Private, nonprofit",60634,
Manhattanville University,NY,"Private, nonprofit",60523,
Marquette University,WI,"Private, nonprofit",60482,
Illinois State University,IL,Public,60414,
University of Massachusetts-Boston,MA,Public,60411,
University of North Carolina at Charlotte,NC,Public,60407,
University of Kansas,KS,Public,60258,
Emmanuel College,MA,"Private, nonprofit",60110,
University of Minnesota-Duluth,MN,Public,60023,
Weber State University,UT,Public,59969,
Virginia Commonwealth University,VA,Public,59968,
Radford University,VA,Public,59932,
Saint Joseph's University - Philadelphia,PA,"Private, nonprofit",59929,
Rider University,NJ,"Private, nonprofit",59897,
California State University-San Marcos,CA,Public,59842,
CUNY Bernard M Baruch College,NY,Public,59756,
University at Albany,NY,Public,59724,
Westminster University,UT,"Private, nonprofit",59676,
Kennesaw State University,,Public,59675,
