Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Stanford University,CA,"Private, nonprofit",82036,
Seattle University,WA,"Private, nonprofit",78906,
Georgetown University,DC,"Private, nonprofit",78370,
University of Chicago,IL,"Private, nonprofit",78169,
Wake Forest University,NC,"Private, nonprofit",77847,
College of the Holy Cross,MA,"Private, nonprofit",74214,
Howard University,DC,"Private, nonprofit",73929,
Brown University,RI,"Private, nonprofit",73497,
Lehigh University,PA,"Private, nonprofit",71474,
George Washington University,DC,"Private, nonprofit",70766,
Boston College,MA,"Private, nonprofit",70141,
Tufts University,MA,"Private, nonprofit",69475,
CUNY York College,NY,Public,69380,
University of Scranton,PA,"Private, nonprofit",69349,
Williams College,MA,"Private, nonprofit",69065,
Elon University,NC,"Private, nonprofit",68927,
University of San Diego,CA,"Private, nonprofit",68752,
Trinity College,CT,"Private, nonprofit",68063,
Northeastern University,MA,"Private, nonprofit",67877,
Northeastern University Professional Programs,,"Private, nonprofit",67877,
Villanova University,PA,"Private, nonprofit",67157,
Loyola Marymount University,CA,"Private, nonprofit",66806,
Emory University,GA,"Private, nonprofit",66762,
New York University,NY,"Private, nonprofit",66306,
Seton Hall University,NJ,"Private, nonprofit",65714,
Amherst College,MA,"Private, nonprofit",65195,
Cornell University,NY,"Private, nonprofit",65089,
Texas Christian University,TX,"Private, nonprofit",64885,
Binghamton University,NY,Public,64555,
Virginia Polytechnic Institute and State University,VA,Public,64225,
Loyola University Maryland,MD,"Private, nonprofit",63919,
Fordham University,NY,"Private, nonprofit",63834,
Providence College,RI,"Private, nonprofit",63736,
California Polytechnic State University-San Luis Obispo,CA,Public,63413,Yes
Fairfield University,CT,"Private, nonprofit",62527,
Yale University,CT,"Private, nonprofit",62440,
Spelman College,GA,"Private, nonprofit",62425,
Brandeis University,MA,"Private, nonprofit",62291,
Northwestern University,IL,"Private, nonprofit",62147,
Bates College,ME,"Private, nonprofit",62082,
Assumption University,MA,"Private, nonprofit",62073,
University of Pennsylvania,PA,"Private, nonprofit",61989,
St Lawrence University,NY,"Private, nonprofit",61335,
Barnard College,NY,"Private, nonprofit",61327,
Princeton University,NJ,"Private, nonprofit",61323,
University of Notre Dame,IN,"Private, nonprofit",60998,
Gettysburg College,PA,"Private, nonprofit",60876,
Colgate University,NY,"Private, nonprofit",60702,
Syracuse University,NY,"Private, nonprofit",60602,
New Jersey City University,NJ,Public,60574,
Manhattan University,NY,"Private, nonprofit",60508,
Vassar College,NY,"Private, nonprofit",60461,
Vanderbilt University,TN,"Private, nonprofit",60439,
Monmouth University,NJ,"Private, nonprofit",60220,
University of California-Berkeley,CA,Public,60187,
Stonehill College,MA,"Private, nonprofit",60131,
CUNY Bernard M Baruch College,NY,Public,59994,
Wellesley College,MA,"Private, nonprofit",59865,
CUNY Medgar Evers College,NY,Public,59650,
Sonoma State University,CA,Public,59418,
