Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
California Polytechnic State University-San Luis Obispo,CA,Public,79432,Yes
Loyola Marymount University,CA,"Private, nonprofit",76522,
Ringling College of Art and Design,FL,"Private, nonprofit",75213,
Brigham Young University,UT,"Private, nonprofit",73941,
Baker College,MI,"Private, nonprofit",67583,
Roger Williams University,RI,"Private, nonprofit",61887,
University of Minnesota-Duluth,MN,Public,61062,
University of Wisconsin-Stout,WI,Public,59621,
University of Maryland Global Campus,MD,Public,58759,
University of California-Santa Cruz,CA,Public,58163,
Arizona State University Campus Immersion,AZ,Public,57618,
Arizona State University Digital Immersion,,Public,57618,
Illinois State University,IL,Public,55723,
Rochester Institute of Technology,NY,"Private, nonprofit",55122,
Bowling Green State University-Main Campus,OH,Public,52388,
California Baptist University,CA,"Private, nonprofit",51834,
Academy of Art University,CA,"Private, for-profit",50833,
Western Illinois University,IL,Public,50751,
University of Silicon Valley,CA,"Private, for-profit",49968,
University of Idaho,ID,Public,49188,
Becker College,,"Private, nonprofit",47455,
George Mason University,VA,Public,47440,
Carroll University,WI,"Private, nonprofit",47327,
SAE Expression College,CA,"Private, for-profit",47131,
University of Charleston,WV,"Private, nonprofit",47037,
DigiPen Institute of Technology,WA,"Private, for-profit",45571,
DePaul University,IL,"Private, nonprofit",45028,
SUNY College of Agriculture and Technology at Cobleskill,NY,Public,44661,
Ferris State University,MI,Public,44116,
University of Northern Iowa,IA,Public,44066,
Columbia College Chicago,IL,"Private, nonprofit",43970,
Minneapolis College of Art and Design,MN,"Private, nonprofit",43745,
Savannah College of Art and Design,GA,"Private, nonprofit",43058,
Sam Houston State University,TX,Public,42579,
Eastern Michigan University,MI,Public,42490,
University of Central Missouri,MO,Public,41870,
Fairmont State University,WV,Public,41784,
East Tennessee State University,TN,Public,41074,
Webster University,MO,"Private, nonprofit",40168,
Pittsburg State University,KS,Public,39946,
Laguna College of Art and Design,CA,"Private, nonprofit",38850,
Bradley University,IL,"Private, nonprofit",37657,
AI Miami International University of Art and Design,FL,"Private, for-profit",37542,
Rocky Mountain College of Art and Design,CO,"Private, for-profit",37239,
Mount Ida College,,"Private, nonprofit",37078,
Lynn University,FL,"Private, nonprofit",36590,
University of Hawaii at Manoa,HI,Public,35830,
SUNY College of Technology at Alfred,NY,Public,35521,
Villa Maria College,NY,"Private, nonprofit",35482,
Pratt Institute-Main,NY,"Private, nonprofit",35100,
Full Sail University,FL,"Private, for-profit",34818,
Huntington University,IN,"Private, nonprofit",34787,
Indian River State College,FL,Public,34741,
Los Angeles Film School,CA,"Private, for-profit",34138,
Montserrat College of Art,MA,"Private, nonprofit",34006,
College for Creative Studies,MI,"Private, nonprofit",34003,
New Mexico State University-Main Campus,NM,Public,33612,
Columbus College of Art & Design,OH,"Private, nonprofit",33389,
Living Arts College,NC,"Private, for-profit",33079,
Argosy University,,"Private, for-profit",32574,
California College of the Arts,CA,"Private, nonprofit",31068,
Kansas City Art Institute,MO,"Private, nonprofit",30798,
School of Visual Arts,NY,"Private, for-profit",30125,
Florida State College at Jacksonville,FL,Public,29783,
Regent University,VA,"Private, nonprofit",29565,
Atlantic University,PR,"Private, nonprofit",23042,
