Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Dartmouth College,NH,"Private, nonprofit",136403,
Duke University,NC,"Private, nonprofit",112377,
Yale University,CT,"Private, nonprofit",109947,
Amherst College,MA,"Private, nonprofit",103601,
Washington and Lee University,VA,"Private, nonprofit",100087,
Columbia University in the City of New York,NY,"Private, nonprofit",98079,
University of Pennsylvania,PA,"Private, nonprofit",88517,
Brown University,RI,"Private, nonprofit",85520,
Cornell University,NY,"Private, nonprofit",82031,
Princeton University,NJ,"Private, nonprofit",80347,
Boston College,MA,"Private, nonprofit",80073,
University of Southern California,CA,"Private, nonprofit",79940,
Northwestern University,IL,"Private, nonprofit",78966,
Colgate University,NY,"Private, nonprofit",75784,
Georgetown University,DC,"Private, nonprofit",75501,
New York University,NY,"Private, nonprofit",74545,
Virginia Military Institute,VA,Public,72630,
College of the Holy Cross,MA,"Private, nonprofit",72423,
Fordham University,NY,"Private, nonprofit",72389,
University of Virginia-Main Campus,VA,Public,71187,
George Washington University,DC,"Private, nonprofit",70734,
Harvard University,MA,"Private, nonprofit",70679,
University of Notre Dame,IN,"Private, nonprofit",70423,
Emory University,GA,"Private, nonprofit",69988,
Vanderbilt University,TN,"Private, nonprofit",69820,
University of Scranton,PA,"Private, nonprofit",68443,
Bowie State University,MD,Public,68077,
California Polytechnic State University-San Luis Obispo,CA,Public,66518,Yes
Norwich University,VT,"Private, nonprofit",66185,
Binghamton University,NY,Public,65984,
Tufts University,MA,"Private, nonprofit",65540,
California State University-East Bay,CA,Public,65217,
Syracuse University,NY,"Private, nonprofit",64871,
Citadel Military College of South Carolina,SC,Public,64869,
University of California-Berkeley,CA,Public,64755,
CUNY Bernard M Baruch College,NY,Public,64570,
University of Chicago,IL,"Private, nonprofit",64330,
Monmouth University,NJ,"Private, nonprofit",63947,
William & Mary,VA,Public,63632,
Mount Saint Mary College,NY,"Private, nonprofit",63174,
College of Staten Island CUNY,NY,Public,63071,
Barnard College,NY,"Private, nonprofit",62258,
University of Michigan-Ann Arbor,MI,Public,62077,
University of California-San Diego,CA,Public,61745,
CUNY Lehman College,NY,Public,61512,
The University of Texas at Dallas,TX,Public,61321,
University of Washington-Seattle Campus,WA,Public,61059,
University of Washington-Tacoma Campus,WA,Public,61059,
Oberlin College,OH,"Private, nonprofit",60895,
Hobart William Smith Colleges,NY,"Private, nonprofit",60616,
University of California-Santa Cruz,CA,Public,60519,
University of Puget Sound,WA,"Private, nonprofit",60458,
Kean University,NJ,Public,60236,
University of Maryland-College Park,MD,Public,60089,
Boston University,MA,"Private, nonprofit",59986,
Siena University,NY,"Private, nonprofit",59855,
Austin College,TX,"Private, nonprofit",59833,
Virginia Polytechnic Institute and State University,VA,Public,59819,
Vassar College,NY,"Private, nonprofit",59814,
American Public University System,WV,"Private, for-profit",59793,
National University,CA,"Private, nonprofit",59645,
American University,DC,"Private, nonprofit",59630,
University of California-Los Angeles,CA,Public,59555,
Williams College,MA,"Private, nonprofit",59535,
Marquette University,WI,"Private, nonprofit",59529,
Utah Valley University,UT,Public,59491,
Seton Hall University,NJ,"Private, nonprofit",59445,
Brandeis University,MA,"Private, nonprofit",59426,
University of California-Santa Barbara,CA,Public,59342,
University of Cincinnati-Main Campus,OH,Public,59290,
Wabash College,IN,"Private, nonprofit",59221,
University of Kansas,KS,Public,58936,
San Francisco State University,CA,Public,58717,
Washington State University,WA,Public,58415,
University of Wisconsin-Madison,WI,Public,58343,
Indiana University-Bloomington,IN,Public,58258,
CUNY Hunter College,NY,Public,58253,
Coe College,IA,"Private, nonprofit",58240,
University of Massachusetts-Boston,MA,Public,57992,
University of North Carolina at Chapel Hill,NC,Public,57952,
San Diego State University,CA,Public,57861,
Ramapo College of New Jersey,NJ,Public,57820,
Texas A&M University-College Station,TX,Public,57783,
University of California-Davis,CA,Public,57734,
Dickinson College,PA,"Private, nonprofit",57699,
University of Houston-Clear Lake,TX,Public,57675,
Loyola University Chicago,IL,"Private, nonprofit",57639,
Nevada State University,NV,Public,57600,
St Lawrence University,NY,"Private, nonprofit",57349,
University of Dayton,OH,"Private, nonprofit",57218,
The University of Texas at Arlington,TX,Public,57159,
Baylor University,TX,"Private, nonprofit",57006,
University of Connecticut,CT,Public,56937,
University of Connecticut-Waterbury Campus,CT,Public,56937,
University of Connecticut-Avery Point,CT,Public,56937,
University of Connecticut-Stamford,CT,Public,56937,
University of Connecticut-Hartford Campus,,Public,56937,
The University of Texas at Austin,TX,Public,56881,
Loyola University Maryland,MD,"Private, nonprofit",56845,
University of Rochester,NY,"Private, nonprofit",56838,
Florida State University,FL,Public,56834,
Sonoma State University,CA,Public,56819,
Oregon State University,OR,Public,56790,
Oregon State University-Cascades Campus,OR,Public,56790,
Old Dominion University,VA,Public,56715,
Florida International University,FL,Public,56676,
University of Missouri-Columbia,MO,Public,56632,
University of Massachusetts-Amherst,MA,Public,56597,
Florida Gulf Coast University,FL,Public,56543,
University of Maryland-Baltimore County,MD,Public,56394,
Arcadia University,PA,"Private, nonprofit",56331,
Towson University,MD,Public,56318,
California State University-Bakersfield,CA,Public,56081,
Villanova University,PA,"Private, nonprofit",56080,
University of Massachusetts-Lowell,MA,Public,55973,
University of North Texas,TX,Public,55906,
University of Indianapolis,IN,"Private, nonprofit",55878,
California State University-Sacramento,CA,Public,55797,
James Madison University,VA,Public,55782,
University of Houston,TX,Public,55475,
St. Mary's College of Maryland,MD,Public,55472,
University of New Mexico-Main Campus,NM,Public,55464,
California State University-Los Angeles,CA,Public,55413,
University of Delaware,DE,Public,55388,
University at Albany,NY,Public,55377,
University of Maryland Global Campus,MD,Public,55336,
University of Illinois Chicago,IL,Public,55326,
Nazareth University,NY,"Private, nonprofit",55271,
University of Nevada-Reno,NV,Public,55230,
Northwestern State University of Louisiana,LA,Public,55115,
University of New Hampshire-Main Campus,NH,Public,54841,
University of New Hampshire College of Professional Studies Online,NH,Public,54841,
Arizona State University Campus Immersion,AZ,Public,54798,
Arizona State University Digital Immersion,,Public,54798,
Grinnell College,IA,"Private, nonprofit",54703,
University of Vermont,VT,Public,54694,
University of Minnesota-Twin Cities,MN,Public,54659,
Rutgers University-Camden,NJ,Public,54657,
Rutgers University-New Brunswick,NJ,Public,54657,
Rutgers University-Newark,NJ,Public,54657,
University of Mary Washington,VA,Public,54625,
SUNY Buffalo State University,NY,Public,54561,
Doane University,NE,"Private, nonprofit",54475,
Brigham Young University,UT,"Private, nonprofit",54457,
University of Florida,FL,Public,54448,
Utah State University,UT,Public,54370,
Salisbury University,MD,Public,54262,
California Baptist University,CA,"Private, nonprofit",54239,
Grand Canyon University,AZ,"Private, for-profit",54209,
State University of New York at Plattsburgh,NY,Public,54187,
SUNY Oneonta,NY,Public,54151,
Portland State University,OR,Public,54131,
Northeastern Illinois University,IL,Public,54071,
Central Connecticut State University,CT,Public,54037,
University of Rhode Island,RI,Public,54001,
Clark University,MA,"Private, nonprofit",53926,
University of Wyoming,WY,Public,53868,
Stockton University,NJ,Public,53745,
Fairleigh Dickinson University-Metropolitan Campus,NJ,"Private, nonprofit",53737,
Fairleigh Dickinson University-Florham Campus,NJ,"Private, nonprofit",53737,
Purdue University-Main Campus,IN,Public,53708,
