Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Lehigh University,PA,"Private, nonprofit",81935,
George Washington University,DC,"Private, nonprofit",81927,
Northwestern University,IL,"Private, nonprofit",80258,
University of Southern California,CA,"Private, nonprofit",79776,
Chapman University,CA,"Private, nonprofit",79135,
University of Wisconsin-Madison,WI,Public,75967,
Northeastern University,MA,"Private, nonprofit",74709,
Fordham University,NY,"Private, nonprofit",72475,
University of Miami,FL,"Private, nonprofit",71466,
California Polytechnic State University-San Luis Obispo,CA,Public,70829,Yes
Syracuse University,NY,"Private, nonprofit",70404,
Elon University,NC,"Private, nonprofit",69964,
University of Missouri-Columbia,MO,Public,69016,
University of Maryland-College Park,MD,Public,68128,
Creighton University,NE,"Private, nonprofit",67808,
University of Illinois Urbana-Champaign,IL,Public,67539,
The College of New Jersey,NJ,Public,67038,
University of Minnesota-Twin Cities,MN,Public,66799,
American University,DC,"Private, nonprofit",66635,
University of Arkansas,AR,Public,66087,
Boston University,MA,"Private, nonprofit",65617,
Stony Brook University,NY,Public,65535,
Arizona State University Campus Immersion,AZ,Public,64224,
Baylor University,TX,"Private, nonprofit",63622,
California State University-Chico,CA,Public,63358,
Emerson College,MA,"Private, nonprofit",63337,
Marquette University,WI,"Private, nonprofit",63322,
Drake University,IA,"Private, nonprofit",62969,
Gonzaga University,WA,"Private, nonprofit",62743,
Rutgers University-New Brunswick,NJ,Public,62670,
Rutgers University-Newark,NJ,Public,62670,
University of Kansas,KS,Public,62394,
Long Island University,NY,"Private, nonprofit",62355,
Pennsylvania State University-Main Campus,PA,Public,62336,
Pennsylvania State University-World Campus,PA,Public,62336,
Quinnipiac University,CT,"Private, nonprofit",61819,
Utah State University,UT,Public,61724,
DePaul University,IL,"Private, nonprofit",61708,
Hampton University,VA,"Private, nonprofit",61675,
Hofstra University,NY,"Private, nonprofit",61609,
Ithaca College,NY,"Private, nonprofit",61317,
The University of Texas at Austin,TX,Public,61145,
Miami University-Oxford,OH,Public,60974,
University of Central Florida,FL,Public,60887,
University of Georgia,GA,Public,60729,
CUNY Brooklyn College,NY,Public,60272,
Biola University,CA,"Private, nonprofit",59925,
University of Connecticut,CT,Public,59604,
University of Connecticut-Waterbury Campus,CT,Public,59604,
University of Connecticut-Avery Point,CT,Public,59604,
University of Connecticut-Stamford,CT,Public,59604,
University of Connecticut-Hartford Campus,,Public,59604,
Michigan State University,MI,Public,59498,
University at Albany,NY,Public,59495,
Ohio University-Eastern Campus,OH,Public,59276,
Ohio University-Chillicothe Campus,OH,Public,59276,
Ohio University-Southern Campus,OH,Public,59276,
Ohio University-Lancaster Campus,OH,Public,59276,
Ohio University-Main Campus,OH,Public,59276,
Ohio University-Zanesville Campus,OH,Public,59276,
Indiana University-Bloomington,IN,Public,59151,
St. John's University-New York,NY,"Private, nonprofit",59067,
California Baptist University,CA,"Private, nonprofit",58821,
St Bonaventure University,NY,"Private, nonprofit",58816,
Pepperdine University,CA,"Private, nonprofit",58801,
Washington State University,WA,Public,58795,
Texas Christian University,TX,"Private, nonprofit",58738,
West Virginia University,WV,Public,58454,
University of Florida,FL,Public,58150,
University of Florida-Online,,Public,58150,
Texas State University,TX,Public,57963,
Northern Arizona University,AZ,Public,57868,
Georgia College & State University,GA,Public,57843,
Western Washington University,WA,Public,57697,
University of Northern Colorado,CO,Public,57603,
University of California-Irvine,CA,Public,57492,
University of North Texas,TX,Public,57461,
Loyola University Chicago,IL,"Private, nonprofit",57407,
University of Alaska Anchorage,AK,Public,57321,
San Francisco State University,CA,Public,57260,
Suffolk University,MA,"Private, nonprofit",57220,
University of Colorado Boulder,CO,Public,57079,
Central Connecticut State University,CT,Public,56990,
University of Iowa,IA,Public,56933,
Kansas State University,KS,Public,56418,
University of Mississippi,MS,Public,56381,
University of Arizona,AZ,Public,55676,
Illinois State University,IL,Public,55641,
University of Oregon,OR,Public,55615,
California State University-Long Beach,CA,Public,55192,
The University of Alabama,AL,Public,55043,
Georgia State University,GA,Public,54732,
University of Maine,ME,Public,54717,
CUNY Bernard M Baruch College,NY,Public,54425,
Georgia Southern University,GA,Public,54396,
Kennesaw State University,,Public,54360,
University of Nevada-Reno,NV,Public,54322,
Wayne State University,MI,Public,54188,
Duquesne University,PA,"Private, nonprofit",54081,
Eastern Illinois University,IL,Public,54038,
University of Oklahoma-Norman Campus,OK,Public,54031,
San Diego State University,CA,Public,53997,
CUNY York College,NY,Public,53901,
Widener University,PA,"Private, nonprofit",53724,
Iowa State University,IA,Public,53633,
University of Nebraska-Lincoln,NE,Public,53618,
Montclair State University,NJ,Public,53579,
Colorado State University-Fort Collins,CO,Public,53528,
Temple University,PA,Public,53518,
California State University-Northridge,CA,Public,53351,
University of South Carolina-Columbia,SC,Public,53294,
Texas Tech University,TX,Public,53206,
University of Houston,TX,Public,53195,
Mercer University,GA,"Private, nonprofit",53182,
California State University-Sacramento,CA,Public,53145,
SUNY at Purchase College,NY,Public,52859,
University of Kentucky,KY,Public,52785,
University of New Mexico-Main Campus,NM,Public,52760,
The University of Tennessee-Knoxville,TN,Public,52663,
Oklahoma State University-Main Campus,OK,Public,52292,
University of Rhode Island,RI,Public,52115,
University of Massachusetts-Amherst,MA,Public,52011,
Liberty University,VA,"Private, nonprofit",51940,
University of Nebraska at Kearney,NE,Public,51659,
Columbia College Chicago,IL,"Private, nonprofit",51639,
Ohio State University-Main Campus,OH,Public,51280,
University of Central Oklahoma,OK,Public,51042,
University of Wisconsin-Whitewater,WI,Public,50970,
Florida Agricultural and Mechanical University,FL,Public,50832,
State University of New York at Oswego,NY,Public,50813,
Southern Connecticut State University,CT,Public,50760,
Morgan State University,MD,Public,50700,
Northern Illinois University,IL,Public,50658,
Samford University,AL,"Private, nonprofit",50652,
Brigham Young University,UT,"Private, nonprofit",50338,
SUNY Brockport,NY,Public,50073,
Middle Tennessee State University,TN,Public,49932,
Southern Illinois University-Carbondale,IL,Public,49880,
Kent State University at Kent,OH,Public,49842,
Indiana University of Pennsylvania,PA,Public,49625,
Ball State University,IN,Public,49456,
University of Memphis,TN,Public,49445,
CUNY Lehman College,NY,Public,49025,
University of Wisconsin-Oshkosh,WI,Public,48935,
Bowling Green State University-Main Campus,OH,Public,48803,
University of Cincinnati-Main Campus,OH,Public,48331,
Appalachian State University,NC,Public,48243,
University of Wisconsin-Eau Claire,WI,Public,48173,
Indiana University-Indianapolis,IN,Public,48113,
Rowan University,NJ,Public,48057,
The University of Texas at Arlington,TX,Public,48042,
University of West Georgia,GA,Public,47891,
Central Michigan University,MI,Public,47775,
Shippensburg University of Pennsylvania,PA,Public,47760,
Western Kentucky University,KY,Public,47661,
Metropolitan State University of Denver,CO,Public,47460,
University of Scranton,PA,"Private, nonprofit",47302,
Flagler College,FL,"Private, nonprofit",46971,
Oakland University,MI,Public,46680,
Northeastern State University,OK,Public,46506,
North Greenville University,SC,"Private, nonprofit",46502,
The University of Montana,MT,Public,46267,
Point Park University,PA,"Private, nonprofit",45859,
New Mexico State University-Main Campus,NM,Public,45765,
Radford University,VA,Public,45369,
University of Idaho,ID,Public,45288,
Pennsylvania Western University,,Public,45264,
Eastern Michigan University,MI,Public,45245,
Texas Southern University,TX,Public,45152,
Northern Kentucky University,KY,Public,44834,
Auburn University,AL,Public,44704,
The University of Arizona Global Campus,AZ,"Private, for-profit",44589,
Marshall University,WV,Public,44277,
University of Central Arkansas,AR,Public,43189,
University of Minnesota-Duluth,MN,Public,42478,
Kentucky State University,KY,Public,42363,
Rust College,MS,"Private, nonprofit",41398,
University of Southern Mississippi,MS,Public,41293,
Louisiana Tech University,LA,Public,41220,
University of Arkansas at Pine Bluff,AR,Public,40515,
State University of New York at Plattsburgh,NY,Public,40034,
Savannah State University,GA,Public,39677,
California State Polytechnic University-Humboldt,CA,Public,39178,
Arkansas Tech University,AR,Public,39173,
University of Wyoming,WY,Public,38934,
Central State University,OH,Public,36311,
University of Puerto Rico-Rio Piedras,PR,Public,32524,
Universidad del Sagrado Corazon,PR,"Private, nonprofit",29511,
