Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
University of Pennsylvania,PA,"Private, nonprofit",107454,
California Polytechnic State University-San Luis Obispo,CA,Public,98592,Yes
Boston College,MA,"Private, nonprofit",97519,
CUNY John Jay College of Criminal Justice,NY,Public,78041,
William & Mary,VA,Public,75423,
Fordham University,NY,"Private, nonprofit",74507,
University of California-Santa Barbara,CA,Public,71796,
The University of Texas at Austin,TX,Public,71790,
University of Chicago,IL,"Private, nonprofit",71709,
University of North Carolina at Chapel Hill,NC,Public,70709,
Seton Hall University,NJ,"Private, nonprofit",70628,
University of Massachusetts-Lowell,MA,Public,68629,
Boston University,MA,"Private, nonprofit",68026,
CUNY Brooklyn College,NY,Public,67948,
University of Michigan-Ann Arbor,MI,Public,67293,
Pennsylvania State University-Main Campus,PA,Public,65675,
Pennsylvania State University-World Campus,PA,Public,65675,
California State University-Sacramento,CA,Public,65115,
George Washington University,DC,"Private, nonprofit",64898,
University of Maryland-College Park,MD,Public,64846,
Virginia Commonwealth University,VA,Public,64402,
American Public University System,WV,"Private, for-profit",64098,
University of Scranton,PA,"Private, nonprofit",63410,
University of California-Berkeley,CA,Public,63326,
University of California-Los Angeles,CA,Public,61754,
University of Washington-Seattle Campus,WA,Public,61595,
University of Washington-Bothell Campus,WA,Public,61595,
University of Wisconsin-Madison,WI,Public,61186,
Loyola University Chicago,IL,"Private, nonprofit",60571,
Georgia State University,GA,Public,60009,
Arizona State University Campus Immersion,AZ,Public,59935,
Arizona State University Digital Immersion,,Public,59935,
Oklahoma State University-Main Campus,OK,Public,59640,
University of Wisconsin-Milwaukee,WI,Public,59370,
The University of Tennessee-Knoxville,TN,Public,59329,
Rutgers University-Camden,NJ,Public,58891,
Rutgers University-New Brunswick,NJ,Public,58891,
Rutgers University-Newark,NJ,Public,58891,
University of Oregon,OR,Public,58635,
University of California-Davis,CA,Public,58633,
North Carolina State University at Raleigh,NC,Public,58285,
West Virginia University,WV,Public,57041,
Columbia University in the City of New York,NY,"Private, nonprofit",56885,
University of Minnesota-Duluth,MN,Public,56812,
University of Iowa,IA,Public,56786,
University of Houston,TX,Public,55875,
Ohio State University-Main Campus,OH,Public,55823,
University of Arizona,AZ,Public,55804,
University of Massachusetts-Boston,MA,Public,54868,
Texas A&M University-College Station,TX,Public,54822,
San Diego State University,CA,Public,53390,
University of Minnesota-Twin Cities,MN,Public,53189,
California State University-Los Angeles,CA,Public,53127,
University of Florida,FL,Public,52656,
New York University,NY,"Private, nonprofit",52633,
University of Pittsburgh-Pittsburgh Campus,PA,Public,52436,
St. John's University-New York,NY,"Private, nonprofit",52006,
University of Southern California,CA,"Private, nonprofit",51831,
University of California-Riverside,CA,Public,51402,
University of California-Santa Cruz,CA,Public,51398,
Texas State University,TX,Public,50768,
Portland State University,OR,Public,50191,
Louisiana State University and Agricultural & Mechanical College,LA,Public,50016,
University of Colorado Colorado Springs,CO,Public,49909,
CUNY Hunter College,NY,Public,49583,
University of South Florida,FL,Public,49561,
Utah Valley University,UT,Public,49403,
The Catholic University of America,DC,"Private, nonprofit",49378,
California State University-Long Beach,CA,Public,49062,
California State University-Northridge,CA,Public,48566,
Temple University,PA,Public,47414,
Florida State University,FL,Public,47153,
University of North Carolina at Charlotte,NC,Public,46067,
California State University-Fullerton,CA,Public,44533,
University of Louisville,KY,Public,44329,
CUNY Lehman College,NY,Public,43165,
Florida International University,FL,Public,43085,
San Francisco State University,CA,Public,42993,
California State University-Fresno,CA,Public,42337,
University of St Thomas,MN,"Private, nonprofit",41209,
Hobart William Smith Colleges,NY,"Private, nonprofit",40284,
Wheaton College,IL,"Private, nonprofit",40076,
University of Wisconsin-Stevens Point,WI,Public,39532,
University of Illinois Urbana-Champaign,IL,Public,34482,
The University of Texas Rio Grande Valley,TX,Public,33457,
Franciscan University of Steubenville,OH,"Private, nonprofit",31906,
