Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Johns Hopkins University,MD,"Private, nonprofit",121729,
Dartmouth College,NH,"Private, nonprofit",106153,
Vanderbilt University,TN,"Private, nonprofit",102789,
Columbia University in the City of New York,NY,"Private, nonprofit",100245,
Colby College,ME,"Private, nonprofit",96621,
Harvard University,MA,"Private, nonprofit",95838,
Cornell University,NY,"Private, nonprofit",95391,
Washington and Lee University,VA,"Private, nonprofit",95190,
University of Notre Dame,IN,"Private, nonprofit",94297,
Trinity College,CT,"Private, nonprofit",94097,
Bucknell University,PA,"Private, nonprofit",94028,
Emory University,GA,"Private, nonprofit",94001,
Santa Clara University,CA,"Private, nonprofit",93518,
University of Pennsylvania,PA,"Private, nonprofit",93033,
Washington University in St Louis,MO,"Private, nonprofit",90778,
Yale University,CT,"Private, nonprofit",90764,
Lehigh University,PA,"Private, nonprofit",90302,
Elon University,NC,"Private, nonprofit",89685,
Bowdoin College,ME,"Private, nonprofit",89253,
Princeton University,NJ,"Private, nonprofit",88576,
Duke University,NC,"Private, nonprofit",88459,
Williams College,MA,"Private, nonprofit",88339,
College of the Holy Cross,MA,"Private, nonprofit",88088,
Hamilton College,NY,"Private, nonprofit",88019,
Lafayette College,PA,"Private, nonprofit",87904,
University of Chicago,IL,"Private, nonprofit",87869,
Rice University,TX,"Private, nonprofit",87804,
Boston College,MA,"Private, nonprofit",86537,
Wake Forest University,NC,"Private, nonprofit",85668,
Brown University,RI,"Private, nonprofit",85388,
Fairfield University,CT,"Private, nonprofit",83709,
Brigham Young University,UT,"Private, nonprofit",83209,
Colgate University,NY,"Private, nonprofit",83188,
Villanova University,PA,"Private, nonprofit",83179,
University of Maryland Global Campus,MD,Public,82263,
California Polytechnic State University-San Luis Obispo,CA,Public,81843,Yes
Loyola University Maryland,MD,"Private, nonprofit",81575,
American Public University System,WV,"Private, for-profit",81056,
New York University,NY,"Private, nonprofit",80957,
Saint Anselm College,NH,"Private, nonprofit",80763,
Bates College,ME,"Private, nonprofit",80714,
Hobart William Smith Colleges,NY,"Private, nonprofit",79778,
George Washington University,DC,"Private, nonprofit",79692,
Georgetown University,DC,"Private, nonprofit",79502,
DePauw University,IN,"Private, nonprofit",79117,
Bryant University,RI,"Private, nonprofit",78579,
University of Virginia-Main Campus,VA,Public,78310,
Tufts University,MA,"Private, nonprofit",78180,
Barnard College,NY,"Private, nonprofit",77805,
University of Michigan-Ann Arbor,MI,Public,77480,
Middlebury College,VT,"Private, nonprofit",77444,
Rollins College,FL,"Private, nonprofit",76600,
Gettysburg College,PA,"Private, nonprofit",76597,
Case Western Reserve University,OH,"Private, nonprofit",76451,
Mercyhurst University,PA,"Private, nonprofit",76154,
Stonehill College,MA,"Private, nonprofit",76123,
The University of Texas at Austin,TX,Public,75988,
Pepperdine University,CA,"Private, nonprofit",75954,
Virginia Polytechnic Institute and State University,VA,Public,75687,
Providence College,RI,"Private, nonprofit",75637,
