Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Georgetown University,DC,"Private, nonprofit",99007,
Washington University in St Louis,MO,"Private, nonprofit",91787,
Dartmouth College,NH,"Private, nonprofit",86896,
Carnegie Mellon University,PA,"Private, nonprofit",82433,
George Washington University,DC,"Private, nonprofit",79187,
Cornell University,NY,"Private, nonprofit",78049,
Santa Clara University,CA,"Private, nonprofit",75742,
Virginia Military Institute,VA,Public,75059,
Lehigh University,PA,"Private, nonprofit",74939,
Gettysburg College,PA,"Private, nonprofit",74466,
University of San Diego,CA,"Private, nonprofit",74178,
College of the Holy Cross,MA,"Private, nonprofit",74095,
Villanova University,PA,"Private, nonprofit",73684,
Northwestern University,IL,"Private, nonprofit",73646,
Lafayette College,PA,"Private, nonprofit",73435,
Clarkson University,NY,"Private, nonprofit",73359,
Duke University,NC,"Private, nonprofit",73359,
University of Pennsylvania,PA,"Private, nonprofit",73012,
Williams College,MA,"Private, nonprofit",72891,
Misericordia University,PA,"Private, nonprofit",72572,
Southern Methodist University,TX,"Private, nonprofit",72136,
Vanderbilt University,TN,"Private, nonprofit",71584,
University of Southern California,CA,"Private, nonprofit",70461,
Fairfield University,CT,"Private, nonprofit",70211,
Saint Mary's College of California,CA,"Private, nonprofit",70123,
Boston College,MA,"Private, nonprofit",70033,
Elon University,NC,"Private, nonprofit",69856,
University of Notre Dame,IN,"Private, nonprofit",69793,
Trinity College,CT,"Private, nonprofit",69730,
Binghamton University,NY,Public,67249,
National University,CA,"Private, nonprofit",66849,
Bucknell University,PA,"Private, nonprofit",66206,
Saint Francis University,PA,"Private, nonprofit",66010,
Drew University,NJ,"Private, nonprofit",65997,
Bates College,ME,"Private, nonprofit",65926,
Syracuse University,NY,"Private, nonprofit",65694,
Texas Christian University,TX,"Private, nonprofit",65356,
Hood College,MD,"Private, nonprofit",65110,
Baylor University,TX,"Private, nonprofit",65090,
University of San Francisco,CA,"Private, nonprofit",65071,
Wake Forest University,NC,"Private, nonprofit",64814,
Manhattan University,NY,"Private, nonprofit",64684,
CUNY Graduate School and University Center,NY,Public,64619,
University of Richmond,VA,"Private, nonprofit",64584,
Bradley University,IL,"Private, nonprofit",64378,
Azusa Pacific University,CA,"Private, nonprofit",63963,
Stonehill College,MA,"Private, nonprofit",63957,
Manhattanville University,NY,"Private, nonprofit",63908,
Notre Dame de Namur University,CA,"Private, nonprofit",63847,
Boston University,MA,"Private, nonprofit",63838,
Providence College,RI,"Private, nonprofit",63746,
