Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Columbia University in the City of New York,NY,"Private, nonprofit",101536,
William & Mary,VA,Public,87655,
Vanderbilt University,TN,"Private, nonprofit",83649,
Dartmouth College,NH,"Private, nonprofit",81722,
George Washington University,DC,"Private, nonprofit",78857,
Barnard College,NY,"Private, nonprofit",77821,
New York University,NY,"Private, nonprofit",77650,
Northwestern University,IL,"Private, nonprofit",75267,
Cornell University,NY,"Private, nonprofit",73200,
University of Pennsylvania,PA,"Private, nonprofit",72217,
Fordham University,NY,"Private, nonprofit",71581,
University of California-Berkeley,CA,Public,71363,
University of Southern California,CA,"Private, nonprofit",70555,
Boston College,MA,"Private, nonprofit",70121,
California Polytechnic State University-San Luis Obispo,CA,Public,69883,Yes
University of Notre Dame,IN,"Private, nonprofit",69704,
Northeastern University,MA,"Private, nonprofit",69585,
Northeastern University Professional Programs,,"Private, nonprofit",69585,
University of Virginia-Main Campus,VA,Public,68538,
Notre Dame de Namur University,CA,"Private, nonprofit",68503,
The College of New Jersey,NJ,Public,68260,
Loyola Marymount University,CA,"Private, nonprofit",68053,
California Lutheran University,CA,"Private, nonprofit",67998,
Assumption University,MA,"Private, nonprofit",67635,
Hobart William Smith Colleges,NY,"Private, nonprofit",67556,
Quinnipiac University,CT,"Private, nonprofit",67262,
Wagner College,NY,"Private, nonprofit",67061,
Syracuse University,NY,"Private, nonprofit",67044,
University of Maryland-College Park,MD,Public,65974,
Hartwick College,NY,"Private, nonprofit",65765,
CUNY Brooklyn College,NY,Public,65606,
Brandeis University,MA,"Private, nonprofit",65481,
SUNY College at Geneseo,NY,Public,65234,
Clark University,MA,"Private, nonprofit",64988,
La Salle University,PA,"Private, nonprofit",64953,
National University,CA,"Private, nonprofit",64860,
Binghamton University,NY,Public,64797,
Providence College,RI,"Private, nonprofit",64750,
University of California-Los Angeles,CA,Public,64692,
College of the Holy Cross,MA,"Private, nonprofit",64642,
George Mason University,VA,Public,64603,
Siena University,NY,"Private, nonprofit",64070,
Boston University,MA,"Private, nonprofit",63791,
Connecticut College,CT,"Private, nonprofit",63777,
University of Miami,FL,"Private, nonprofit",63764,
Virginia Polytechnic Institute and State University,VA,Public,63654,
Central Washington University,WA,Public,63608,
University of Michigan-Ann Arbor,MI,Public,63419,
Shepherd University,WV,Public,63412,
Franklin and Marshall College,PA,"Private, nonprofit",63251,
University of Massachusetts Global,CA,Public,63036,
Gonzaga University,WA,"Private, nonprofit",62626,
Spelman College,GA,"Private, nonprofit",62587,
Morehouse College,GA,"Private, nonprofit",62517,
University of Redlands,CA,"Private, nonprofit",62516,
California State University-East Bay,CA,Public,62427,
Texas Christian University,TX,"Private, nonprofit",62392,
San Francisco State University,CA,Public,62385,
Moravian University,PA,"Private, nonprofit",62315,
Mount Holyoke College,MA,"Private, nonprofit",62313,
Michigan State University,MI,Public,62204,
Chapman University,CA,"Private, nonprofit",62047,
University of Mount Saint Vincent,NY,"Private, nonprofit",61964,
University of San Francisco,CA,"Private, nonprofit",61883,
Manhattanville University,NY,"Private, nonprofit",61752,
University of Delaware,DE,Public,61725,
Tufts University,MA,"Private, nonprofit",61719,
Loyola University Chicago,IL,"Private, nonprofit",61429,
Duke University,NC,"Private, nonprofit",61425,
University of La Verne,CA,"Private, nonprofit",61350,
American International College,MA,"Private, nonprofit",61173,
Miami University-Oxford,OH,Public,61149,
University of Georgia,GA,Public,61124,
Vassar College,NY,"Private, nonprofit",61106,
Suffolk University,MA,"Private, nonprofit",61032,
Wake Forest University,NC,"Private, nonprofit",60635,
University of Washington-Seattle Campus,WA,Public,60292,
Brigham Young University,UT,"Private, nonprofit",60277,
Drew University,NJ,"Private, nonprofit",60261,
University of California-Santa Barbara,CA,Public,60013,
CUNY York College,NY,Public,59899,
Pacific Lutheran University,WA,"Private, nonprofit",59853,
University of Connecticut,CT,Public,59684,
University of Connecticut-Waterbury Campus,CT,Public,59684,
University of Connecticut-Avery Point,CT,Public,59684,
University of Connecticut-Stamford,CT,Public,59684,
University of Connecticut-Hartford Campus,,Public,59684,
Rhode Island College,RI,Public,59643,
Roanoke College,VA,"Private, nonprofit",59580,
Mount Saint Mary's University,CA,"Private, nonprofit",59575,
Le Moyne College,NY,"Private, nonprofit",59291,
University of California-Davis,CA,Public,59171,
Stony Brook University,NY,Public,58966,
Franklin College,IN,"Private, nonprofit",58827,
The University of Texas at Austin,TX,Public,58807,
Smith College,MA,"Private, nonprofit",58664,
Occidental College,CA,"Private, nonprofit",58598,
Hofstra University,NY,"Private, nonprofit",58483,
Canisius University,NY,"Private, nonprofit",58469,
University of Massachusetts-Boston,MA,Public,58394,
