Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
University of Notre Dame,IN,"Private, nonprofit",64880,
Brandeis University,MA,"Private, nonprofit",58676,
University of California-Davis,CA,Public,56823,
University of California-Berkeley,CA,Public,55555,
Drake University,IA,"Private, nonprofit",54950,
Miami University-Oxford,OH,Public,54215,
University of Cincinnati-Main Campus,OH,Public,54000,
Florida Southern College,FL,"Private, nonprofit",51925,
University of Pittsburgh-Johnstown,PA,Public,51775,
University of Pittsburgh-Pittsburgh Campus,PA,Public,51775,
Chapman University,CA,"Private, nonprofit",51611,
Western Connecticut State University,CT,Public,50955,
Pepperdine University,CA,"Private, nonprofit",50594,
Rhode Island College,RI,Public,50335,
University of Utah,UT,Public,49802,
University of Illinois Urbana-Champaign,IL,Public,49323,
Northwestern University,IL,"Private, nonprofit",49316,
Loyola Marymount University,CA,"Private, nonprofit",49135,
The University of Texas at Austin,TX,Public,48781,
University of North Carolina School of the Arts,NC,Public,48664,
Manhattanville University,NY,"Private, nonprofit",48629,
Texas State University,TX,Public,48502,
University of Central Missouri,MO,Public,48179,
Saint Edward's University,TX,"Private, nonprofit",47974,
Binghamton University,NY,Public,47945,
University of Colorado Denver/Anschutz Medical Campus,CO,Public,47878,
California State University-Sacramento,CA,Public,47676,
University of Oklahoma-Norman Campus,OK,Public,47587,
West Texas A & M University,TX,Public,47175,
University of Puget Sound,WA,"Private, nonprofit",46791,
Radford University,VA,Public,46725,
North Central College,IL,"Private, nonprofit",46605,
Ithaca College,NY,"Private, nonprofit",46563,
Fordham University,NY,"Private, nonprofit",46317,
University of Northern Colorado,CO,Public,46089,
University of Michigan-Ann Arbor,MI,Public,45888,
University of Evansville,IN,"Private, nonprofit",45838,
Baylor University,TX,"Private, nonprofit",45706,
Portland State University,OR,Public,45692,
University at Buffalo,NY,Public,45677,
University of South Florida,FL,Public,45671,
George Mason University,VA,Public,45656,
University of New Hampshire-Main Campus,NH,Public,45504,
Nebraska Wesleyan University,NE,"Private, nonprofit",45420,
James Madison University,VA,Public,45225,
St Olaf College,MN,"Private, nonprofit",45023,
College of Charleston,SC,Public,44991,
Appalachian State University,NC,Public,44986,
Pennsylvania State University-Penn State Berks,PA,Public,44913,
Pennsylvania State University-Main Campus,PA,Public,44913,
Full Sail University,FL,"Private, for-profit",44878,
San Francisco State University,CA,Public,44848,
University of Nebraska-Lincoln,NE,Public,44825,
Emerson College,MA,"Private, nonprofit",44760,
Western Michigan University,MI,Public,44694,
University of Montevallo,AL,Public,44624,
Ramapo College of New Jersey,NJ,Public,44565,
University of Arizona,AZ,Public,44471,
Pacific Lutheran University,WA,"Private, nonprofit",44459,
Hofstra University,NY,"Private, nonprofit",44388,
Florida State University,FL,Public,44115,
University of California-Santa Barbara,CA,Public,44106,
DePaul University,IL,"Private, nonprofit",44095,
Syracuse University,NY,"Private, nonprofit",44045,
Virginia Commonwealth University,VA,Public,43957,
Central Michigan University,MI,Public,43916,
Long Island University,NY,"Private, nonprofit",43904,
Cornish College of the Arts,WA,"Private, nonprofit",43576,
Suffolk University,MA,"Private, nonprofit",43553,
Lindenwood University,MO,"Private, nonprofit",43329,
California State University-Northridge,CA,Public,43240,
Ball State University,IN,Public,43082,
University of Minnesota-Twin Cities,MN,Public,43055,
University of Georgia,GA,Public,43046,
University of Central Florida,FL,Public,42954,
Metropolitan State University of Denver,CO,Public,42870,
Michigan State University,MI,Public,42820,
Ohio University-Eastern Campus,OH,Public,42796,
Ohio University-Chillicothe Campus,OH,Public,42796,
Ohio University-Southern Campus,OH,Public,42796,
Ohio University-Lancaster Campus,OH,Public,42796,
Ohio University-Main Campus,OH,Public,42796,
Ohio University-Zanesville Campus,OH,Public,42796,
Rutgers University-Camden,NJ,Public,42712,
Rutgers University-New Brunswick,NJ,Public,42712,
Rutgers University-Newark,NJ,Public,42712,
University of the Arts,PA,"Private, nonprofit",42639,
DeSales University,PA,"Private, nonprofit",42571,
Texas Christian University,TX,"Private, nonprofit",42483,
California State University-Fullerton,CA,Public,42455,
University of Minnesota-Duluth,MN,Public,42438,
University of North Texas,TX,Public,42362,
New York University,NY,"Private, nonprofit",42348,
University of Houston,TX,Public,42301,
Loyola University Chicago,IL,"Private, nonprofit",42195,
Muhlenberg College,PA,"Private, nonprofit",42092,
CUNY New York City College of Technology,NY,Public,41880,
San Diego State University,CA,Public,41812,
Texas A & M University-Corpus Christi,TX,Public,41773,
Arizona State University Campus Immersion,AZ,Public,41745,
University of Maryland-College Park,MD,Public,41742,
University of the Incarnate Word,TX,"Private, nonprofit",41720,
University of Florida,FL,Public,41707,
Oklahoma City University,OK,"Private, nonprofit",41540,
Stephen F Austin State University,TX,Public,41450,
The University of Tennessee-Knoxville,TN,Public,41414,
East Carolina University,NC,Public,41394,
University of California-San Diego,CA,Public,41389,
University of North Carolina at Chapel Hill,NC,Public,41362,
Indiana University-Bloomington,IN,Public,41328,
CUNY Brooklyn College,NY,Public,41233,
California Institute of the Arts,CA,"Private, nonprofit",41192,
University of North Carolina at Greensboro,NC,Public,41108,
Winthrop University,SC,Public,40948,
West Virginia University,WV,Public,40942,
University of California-Irvine,CA,Public,40773,
Western Washington University,WA,Public,40616,
Shenandoah University,VA,"Private, nonprofit",40457,
California Baptist University,CA,"Private, nonprofit",40432,
University of Southern California,CA,"Private, nonprofit",40415,
Skidmore College,NY,"Private, nonprofit",40351,
Utah State University,UT,Public,40338,
Utah Valley University,UT,Public,40289,
Illinois State University,IL,Public,40258,
Vassar College,NY,"Private, nonprofit",40165,
Point Park University,PA,"Private, nonprofit",40121,
California State University-San Bernardino,CA,Public,40118,
Marymount Manhattan College,NY,"Private, nonprofit",40086,
University of New Mexico-Main Campus,NM,Public,40085,
Carnegie Mellon University,PA,"Private, nonprofit",40073,
University of Nevada-Las Vegas,NV,Public,40033,
Columbia College Chicago,IL,"Private, nonprofit",39986,
SUNY at Purchase College,NY,Public,39974,
Southern Illinois University-Carbondale,IL,Public,39926,
SUNY Buffalo State University,NY,Public,39863,
University of Northern Iowa,IA,Public,39816,
SUNY at Fredonia,NY,Public,39770,
Towson University,MD,Public,39753,
University of North Carolina at Charlotte,NC,Public,39725,
Southern Illinois University Edwardsville,IL,Public,39698,
